"expression","sharpe","fitness","wqb_data"
"ts_delta(anl14_low_eps_fp1,120)","1.06","0.7","{""id"": ""npxQdo2l"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_delta(anl14_low_eps_fp1,120)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T14:13:28-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T14:13:28-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 5507456, ""bookSize"": 20000000, ""longCount"": 1022, ""shortCount"": 1021, ""turnover"": 0.0477, ""returns"": 0.0552, ""drawdown"": 0.1063, ""margin"": 0.002314, ""sharpe"": 1.06, ""fitness"": 0.7, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 2584237, ""bookSize"": 20000000, ""longCount"": 1022, ""shortCount"": 1021, ""turnover"": 0.0477, ""returns"": 0.0259, ""drawdown"": 0.0734, ""margin"": 0.001086, ""fitness"": 0.32, ""sharpe"": 0.7}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""WARNING"", ""limit"": 1.58, ""value"": 1.06}, {""name"": ""LOW_FITNESS"", ""result"": ""WARNING"", ""limit"": 1.0, ""value"": 0.7}, {""name"": ""LOW_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.01, ""value"": 0.0477}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.0477}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""PASS""}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.43, ""value"": 0.9}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 1.01, ""limit"": 0.53, ""value"": 0.55}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""PASS"", ""value"": 1.91, ""limit"": 1.58}, {""name"": ""POWER_POOL_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
"ts_delta(anl69_dps_best_crncy_iso,120)","1.15","1.49","{""id"": ""N1x3V5EE"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_delta(anl69_dps_best_crncy_iso,120)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T14:18:52-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T14:18:53-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 20879326, ""bookSize"": 20000000, ""longCount"": 1122, ""shortCount"": 1078, ""turnover"": 0.0437, ""returns"": 0.2091, ""drawdown"": 0.3261, ""margin"": 0.009576, ""sharpe"": 1.15, ""fitness"": 1.49, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 5197136, ""bookSize"": 20000000, ""longCount"": 1122, ""shortCount"": 1078, ""turnover"": 0.0437, ""returns"": 0.0521, ""drawdown"": 0.3084, ""margin"": 0.002384, ""fitness"": 0.27, ""sharpe"": 0.42}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""WARNING"", ""limit"": 1.58, ""value"": 1.15}, {""name"": ""LOW_FITNESS"", ""result"": ""PASS"", ""limit"": 1.0, ""value"": 1.49}, {""name"": ""LOW_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.01, ""value"": 0.0437}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.0437}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""WARNING"", ""date"": ""2016-01-25"", ""limit"": 0.1, ""value"": 0.226098}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.47, ""value"": 0.97}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 1.13, ""limit"": 0.59, ""value"": 0.73}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""PASS"", ""value"": 1.68, ""limit"": 1.58}, {""name"": ""POWER_POOL_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
"ts_mean(est_12m_eps_num_4wks_ago,252)","1.27","0.91","{""id"": ""XgmeJMla"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_mean(est_12m_eps_num_4wks_ago,252)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T14:21:18-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T14:21:18-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 6390946, ""bookSize"": 20000000, ""longCount"": 972, ""shortCount"": 1366, ""turnover"": 0.0077, ""returns"": 0.064, ""drawdown"": 0.0866, ""margin"": 0.016701, ""sharpe"": 1.27, ""fitness"": 0.91, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 1928381, ""bookSize"": 20000000, ""longCount"": 972, ""shortCount"": 1366, ""turnover"": 0.0077, ""returns"": 0.0193, ""drawdown"": 0.0692, ""margin"": 0.005039, ""fitness"": 0.31, ""sharpe"": 0.79}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""FAIL"", ""limit"": 1.58, ""value"": 1.27}, {""name"": ""LOW_FITNESS"", ""result"": ""FAIL"", ""limit"": 1.0, ""value"": 0.91}, {""name"": ""LOW_TURNOVER"", ""result"": ""FAIL"", ""limit"": 0.01, ""value"": 0.0077}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.0077}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""PASS""}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.52, ""value"": 1.51}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 1.25, ""limit"": 0.66, ""value"": 0.81}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""PASS"", ""value"": 2.39, ""limit"": 1.58}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
"ts_mean(est_12m_sal_num_3mth_ago,63)","1.24","0.87","{""id"": ""3qQ516jX"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_mean(est_12m_sal_num_3mth_ago,63)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T14:44:47-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T14:44:47-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 6150786, ""bookSize"": 20000000, ""longCount"": 985, ""shortCount"": 1344, ""turnover"": 0.0098, ""returns"": 0.0616, ""drawdown"": 0.0772, ""margin"": 0.01252, ""sharpe"": 1.24, ""fitness"": 0.87, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 1972567, ""bookSize"": 20000000, ""longCount"": 985, ""shortCount"": 1344, ""turnover"": 0.0098, ""returns"": 0.0198, ""drawdown"": 0.0558, ""margin"": 0.004015, ""fitness"": 0.33, ""sharpe"": 0.83}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""FAIL"", ""limit"": 1.58, ""value"": 1.24}, {""name"": ""LOW_FITNESS"", ""result"": ""FAIL"", ""limit"": 1.0, ""value"": 0.87}, {""name"": ""LOW_TURNOVER"", ""result"": ""FAIL"", ""limit"": 0.01, ""value"": 0.0098}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.0098}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""PASS""}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.51, ""value"": 1.62}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 1.23, ""limit"": 0.64, ""value"": 0.82}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""PASS"", ""value"": 2.29, ""limit"": 1.58}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
"ts_mean(est_12m_cps_raised_1wk,252)","1.4","0.87","{""id"": ""e7kvGo3O"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_mean(est_12m_cps_raised_1wk,252)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T14:54:13-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T14:54:13-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 4812993, ""bookSize"": 20000000, ""longCount"": 796, ""shortCount"": 1056, ""turnover"": 0.0117, ""returns"": 0.0482, ""drawdown"": 0.0535, ""margin"": 0.008258, ""sharpe"": 1.4, ""fitness"": 0.87, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 2466179, ""bookSize"": 20000000, ""longCount"": 796, ""shortCount"": 1056, ""turnover"": 0.0117, ""returns"": 0.0247, ""drawdown"": 0.0329, ""margin"": 0.004231, ""fitness"": 0.44, ""sharpe"": 0.98}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""WARNING"", ""limit"": 1.58, ""value"": 1.4}, {""name"": ""LOW_FITNESS"", ""result"": ""WARNING"", ""limit"": 1.0, ""value"": 0.87}, {""name"": ""LOW_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.01, ""value"": 0.0117}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.0117}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""PASS""}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.57, ""value"": 1.33}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 1.38, ""limit"": 0.72, ""value"": 1.11}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""PASS"", ""value"": 2.32, ""limit"": 1.58}, {""name"": ""POWER_POOL_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
"ts_delta(anl15_cps_gr_fy1_cos_dn,21)","1.05","0.65","{""id"": ""1YkPPmZk"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_delta(anl15_cps_gr_fy1_cos_dn,21)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T15:00:25-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T15:00:25-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 5416037, ""bookSize"": 20000000, ""longCount"": 1255, ""shortCount"": 1238, ""turnover"": 0.1436, ""returns"": 0.0542, ""drawdown"": 0.0872, ""margin"": 0.000756, ""sharpe"": 1.05, ""fitness"": 0.65, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 3710814, ""bookSize"": 20000000, ""longCount"": 1255, ""shortCount"": 1238, ""turnover"": 0.1436, ""returns"": 0.0372, ""drawdown"": 0.0496, ""margin"": 0.000518, ""fitness"": 0.54, ""sharpe"": 1.07}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""WARNING"", ""limit"": 1.58, ""value"": 1.05}, {""name"": ""LOW_FITNESS"", ""result"": ""WARNING"", ""limit"": 1.0, ""value"": 0.65}, {""name"": ""LOW_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.01, ""value"": 0.1436}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.1436}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""PASS""}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.43, ""value"": 0.84}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 0.91, ""limit"": 0.48, ""value"": 0.56}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""WARNING"", ""value"": 0.86, ""limit"": 1.58}, {""name"": ""POWER_POOL_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
"ts_mean(est_12m_ebi_num_28d,252)","1.14","0.74","{""id"": ""1YkP0nPW"", ""type"": ""REGULAR"", ""author"": ""BW15840"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""ILLIQUID_MINVOL1M"", ""delay"": 1, ""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false, ""startDate"": ""2013-01-20"", ""endDate"": ""2023-01-20""}, ""regular"": {""code"": ""ts_mean(est_12m_ebi_num_28d,252)"", ""description"": null, ""operatorCount"": 1}, ""dateCreated"": ""2025-10-25T15:05:48-04:00"", ""dateSubmitted"": null, ""dateModified"": ""2025-10-25T15:05:48-04:00"", ""name"": null, ""favorite"": false, ""hidden"": false, ""color"": null, ""category"": null, ""tags"": [], ""classifications"": [{""id"": ""DATA_USAGE:SINGLE_DATA_SET"", ""name"": ""Single Data Set Alpha""}], ""grade"": null, ""stage"": ""IS"", ""status"": ""UNSUBMITTED"", ""is"": {""pnl"": 5197486, ""bookSize"": 20000000, ""longCount"": 981, ""shortCount"": 1311, ""turnover"": 0.0104, ""returns"": 0.0521, ""drawdown"": 0.0903, ""margin"": 0.009997, ""sharpe"": 1.14, ""fitness"": 0.74, ""startDate"": ""2013-01-20"", ""riskNeutralized"": {""pnl"": 2071312, ""bookSize"": 20000000, ""longCount"": 981, ""shortCount"": 1311, ""turnover"": 0.0104, ""returns"": 0.0207, ""drawdown"": 0.0528, ""margin"": 0.003984, ""fitness"": 0.33, ""sharpe"": 0.81}, ""checks"": [{""name"": ""LOW_SHARPE"", ""result"": ""WARNING"", ""limit"": 1.58, ""value"": 1.14}, {""name"": ""LOW_FITNESS"", ""result"": ""WARNING"", ""limit"": 1.0, ""value"": 0.74}, {""name"": ""LOW_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.01, ""value"": 0.0104}, {""name"": ""HIGH_TURNOVER"", ""result"": ""PASS"", ""limit"": 0.7, ""value"": 0.0104}, {""name"": ""CONCENTRATED_WEIGHT"", ""result"": ""PASS""}, {""name"": ""LOW_SUB_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""limit"": 0.47, ""value"": 1.31}, {""name"": ""LOW_AFTER_COST_ILLIQUID_UNIVERSE_SHARPE"", ""result"": ""PASS"", ""afterCostSharpe"": 1.12, ""limit"": 0.59, ""value"": 0.81}, {""name"": ""SELF_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""DATA_DIVERSITY"", ""result"": ""PENDING""}, {""name"": ""PROD_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""REGULAR_SUBMISSION"", ""result"": ""PENDING""}, {""name"": ""LOW_2Y_SHARPE"", ""result"": ""WARNING"", ""value"": 1.55, ""limit"": 1.58}, {""name"": ""POWER_POOL_CORRELATION"", ""result"": ""PENDING""}, {""name"": ""MATCHES_COMPETITION"", ""result"": ""WARNING"", ""competitions"": [{""id"": ""AIAC2025"", ""name"": ""AI Alphas Competition 2025""}]}, {""result"": ""PASS"", ""name"": ""MATCHES_PYRAMID"", ""effective"": 1, ""multiplier"": 1.2, ""pyramids"": [{""name"": ""USA/D1/ANALYST"", ""multiplier"": 1.2}]}, {""result"": ""WARNING"", ""name"": ""MATCHES_THEMES"", ""themes"": [{""id"": ""7Be7JE4"", ""multiplier"": 2.0, ""name"": ""EUR Risk Neutralization Theme""}]}]}, ""os"": null, ""train"": null, ""test"": null, ""prod"": null, ""competitions"": null, ""themes"": null, ""pyramids"": null, ""pyramidThemes"": null, ""team"": null}"
